Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
190,2302,3,2,3,1932,Rural,Poor,0,395590,93
191,4561,1,2,1,1966,Suburban,Poor,1,518968,59
192,3869,5,4,3,1929,Downtown,Good,0,940965,96
193,762,1,2,2,2013,Urban,Fair,0,828559,12
194,1123,3,2,1,1975,Downtown,Poor,1,533663,50
195,1516,5,3,1,1928,Rural,Good,0,478082,97
196,4143,3,4,1,1902,Rural,Good,0,655262,123
197,2549,5,4,3,1989,Suburban,Excellent,0,647689,36
198,4223,3,4,2,1956,Suburban,Fair,1,263165,69
199,3608,2,3,1,1929,Downtown,Fair,1,455427,96
200,4590,3,2,1,1908,Suburban,Excellent,1,502201,117
201,2556,2,4,1,1925,Urban,Fair,0,214340,100
202,3670,3,4,1,1901,Urban,Excellent,1,840078,124
203,2182,5,1,2,1961,Suburban,Good,1,760731,64
204,2755,5,4,3,1902,Urban,Good,1,822411,123
205,1654,5,2,2,1945,Urban,Poor,0,354960,80
206,4999,4,2,1,1967,Downtown,Excellent,0,139460,58
207,3691,1,1,2,1924,Urban,Good,1,356256,101
208,2196,5,4,1,1950,Rural,Good,1,101048,75
209,4491,2,4,3,1912,Rural,Excellent,1,780806,113
210,2148,5,4,3,2002,Downtown,Good,0,182850,23
211,1945,4,3,3,1943,Suburban,Fair,1,882184,82
212,4699,2,4,1,1934,Downtown,Good,0,528193,91
213,4423,4,2,2,1954,Suburban,Excellent,0,907158,71
214,753,2,2,3,1986,Suburban,Fair,0,786200,39
215,3683,3,3,1,1908,Suburban,Fair,1,994793,117
216,3057,1,3,1,1901,Suburban,Good,1,356932,124
217,598,1,4,2,1960,Suburban,Poor,0,316891,65
218,2700,4,1,3,2017,Downtown,Fair,0,574333,8
219,3461,1,3,1,1940,Suburban,Excellent,0,582046,85
220,4933,4,3,2,1943,Urban,Poor,0,829685,82
221,4277,4,4,3,1963,Urban,Poor,1,961508,62
222,3369,4,4,2,1930,Suburban,Fair,1,728797,95
223,3734,1,3,2,2007,Urban,Good,0,724945,18
224,4291,4,1,1,1946,Rural,Poor,0,190926,79
225,1456,1,3,1,1901,Downtown,Good,0,233148,124
226,4567,4,4,1,1995,Downtown,Fair,1,893382,30
227,660,5,4,2,1981,Suburban,Excellent,0,722709,44
228,4993,4,3,1,1976,Suburban,Poor,1,801588,49
229,1800,2,1,2,2009,Rural,Excellent,0,726708,16
230,4487,4,3,2,1968,Suburban,Good,1,215368,57
231,2027,3,3,1,1957,Urban,Good,1,544496,68
232,1718,4,4,3,2005,Rural,Excellent,0,69455,20
233,4996,2,1,3,1943,Urban,Fair,1,784184,82
234,3604,2,2,3,1973,Downtown,Fair,1,515139,52
235,3235,1,1,2,1955,Urban,Poor,1,281897,70
236,1454,5,3,2,1942,Downtown,Poor,1,482509,83
237,3946,4,3,2,1988,Urban,Fair,0,542646,37
238,1545,1,3,1,1933,Downtown,Fair,0,662840,92
239,2193,5,1,2,2000,Suburban,Excellent,0,882548,25
240,3936,4,4,1,1929,Urban,Good,0,432605,96
241,1062,3,3,1,1970,Downtown,Good,0,614772,55
242,2985,4,3,3,1969,Urban,Poor,1,997719,56
243,3854,2,1,3,2017,Rural,Fair,1,393782,8
244,725,2,2,3,1954,Suburban,Excellent,1,708764,71
245,1459,3,2,1,1966,Downtown,Poor,1,218332,59
246,3567,1,4,1,1912,Rural,Excellent,0,150647,113
247,1315,5,4,1,1902,Urban,Fair,0,639930,123
248,3620,4,3,2,1925,Rural,Fair,1,786091,100
249,516,2,1,1,1956,Urban,Fair,0,882441,69
250,1743,1,3,3,1923,Suburban,Good,1,178824,102
251,2705,3,4,3,1952,Rural,Fair,1,823202,73
252,3024,2,1,1,1969,Suburban,Poor,0,866037,56
253,1569,3,1,1,1942,Downtown,Good,0,685167,83
254,3944,4,4,3,1959,Urban,Excellent,0,695115,66
255,3065,5,2,1,1957,Urban,Poor,0,317724,68
256,1560,2,2,3,1948,Suburban,Poor,0,951334,77
257,2827,2,1,2,1941,Suburban,Excellent,0,317544,84
258,3920,4,3,3,1975,Downtown,Good,0,745003,50
259,801,1,2,2,2012,Rural,Poor,1,801545,13
260,4776,5,3,1,1999,Urban,Poor,0,932464,26
261,1106,2,2,1,1965,Urban,Poor,1,177319,60
262,3670,5,2,2,1910,Downtown,Good,1,562193,115
263,1199,2,3,1,2002,Downtown,Good,0,529389,23
264,1639,5,4,2,1997,Suburban,Good,1,156960,28
265,690,3,2,1,1989,Suburban,Poor,0,89015,36
266,2800,2,2,3,1917,Rural,Fair,1,383857,108
267,1480,5,3,1,1984,Downtown,Excellent,1,778165,41
268,3475,1,4,3,1999,Rural,Fair,1,982478,26
269,1684,3,2,3,2003,Downtown,Good,0,195109,22
270,3827,3,2,2,1951,Urban,Poor,1,527508,74
271,3894,1,4,1,1945,Downtown,Poor,1,836351,80
272,627,5,2,2,1943,Downtown,Fair,1,983671,82
273,2565,4,4,1,1921,Urban,Fair,0,138754,104
274,2316,1,4,3,1952,Downtown,Excellent,1,271775,73
275,1069,5,3,3,1958,Rural,Poor,0,355292,67
276,2395,1,1,1,1993,Suburban,Fair,1,777513,32
277,3233,1,4,1,2013,Suburban,Excellent,1,726894,12
278,4363,2,3,2,2006,Rural,Good,1,796355,19
279,4514,5,1,1,2023,Urban,Fair,0,959222,2
280,3401,4,2,1,1929,Downtown,Good,1,922510,96
281,2186,2,1,1,1907,Rural,Excellent,1,106879,118
282,3509,1,4,2,1997,Suburban,Good,1,169894,28
283,654,1,4,1,1956,Suburban,Poor,1,640127,69
284,3037,1,4,3,2010,Rural,Poor,0,79756,15
285,1909,5,4,2,1972,Suburban,Good,1,718043,53
286,4557,5,4,2,2014,Rural,Poor,1,230557,11
287,1284,2,3,3,1919,Suburban,Excellent,1,279303,106
288,3675,4,4,3,2003,Rural,Poor,1,454241,22
289,4841,2,3,3,1924,Downtown,Good,0,724075,101
290,3306,3,2,1,1918,Downtown,Good,1,541599,107
291,1037,1,4,3,1904,Downtown,Good,1,545283,121
292,2341,1,4,1,1974,Downtown,Fair,0,667231,51
293,2955,1,1,2,1978,Suburban,Good,1,792476,47
294,1024,2,2,2,1971,Urban,Excellent,1,198188,54
295,3450,2,4,3,1982,Rural,Poor,1,611032,43
296,4631,1,4,1,1986,Urban,Poor,0,174697,39
297,4615,2,2,3,1926,Suburban,Fair,1,530795,99
298,2868,5,3,3,1939,Suburban,Fair,0,690360,86
299,4347,5,4,1,1995,Urban,Excellent,0,445340,30
300,4995,2,1,3,1925,Urban,Good,0,286028,100
301,3201,1,4,2,1926,Suburban,Fair,0,743411,99
302,1471,2,1,3,1961,Suburban,Poor,0,57176,64
303,1666,2,1,1,1982,Rural,Fair,0,927742,43
304,3274,2,4,1,1949,Downtown,Fair,0,826653,76
305,2482,3,4,2,1941,Downtown,Good,1,508034,84
306,1353,5,1,1,1928,Rural,Fair,1,563611,97
307,4646,4,2,1,1938,Urban,Excellent,0,199748,87
308,4236,4,2,2,1959,Suburban,Poor,0,95177,66
309,4269,3,4,3,1940,Urban,Good,0,533512,85
310,1074,2,3,2,1932,Downtown,Poor,0,160623,93
311,3761,3,2,3,1982,Downtown,Excellent,0,575285,43
312,1648,3,4,2,2000,Urban,Excellent,0,502546,25
313,2215,1,2,3,1982,Downtown,Fair,1,546184,43
314,4354,5,3,2,1996,Suburban,Fair,1,694467,29
315,2991,4,4,3,2010,Rural,Fair,0,297439,15
316,3160,2,3,2,1915,Urban,Poor,0,694691,110
317,3624,4,4,3,1922,Suburban,Excellent,0,978735,103
318,3551,4,3,2,1906,Suburban,Good,1,145287,119
319,504,5,2,1,1925,Downtown,Fair,0,169574,100
320,1376,4,2,3,1995,Suburban,Poor,1,830751,30
321,1491,4,3,2,1911,Urban,Fair,1,171509,114
322,4642,3,3,3,1971,Suburban,Excellent,1,397591,54
323,4864,5,3,3,1904,Rural,Good,0,945954,121
324,4965,1,4,2,2005,Suburban,Excellent,0,499181,20
325,1135,2,2,3,1991,Suburban,Poor,1,393288,34
326,2193,4,4,2,2016,Rural,Fair,1,822793,9
327,2182,2,2,1,1968,Suburban,Excellent,1,242589,57
328,619,1,1,3,1948,Suburban,Poor,1,929125,77
329,1330,2,4,1,1925,Downtown,Fair,0,406459,100
330,4175,1,2,3,1904,Urban,Good,1,538720,121
331,1869,3,2,3,1921,Downtown,Excellent,0,863819,104
332,1240,4,4,3,1978,Urban,Fair,1,54090,47
333,616,1,4,2,1912,Rural,Fair,0,957278,113
334,3338,2,2,1,1927,Rural,Fair,1,468161,98
335,1650,4,4,3,1932,Rural,Fair,0,876671,93
336,2431,3,3,2,2006,Urban,Excellent,0,53743,19
337,1512,4,4,3,1922,Urban,Fair,0,80924,103
338,2164,1,4,2,1996,Urban,Poor,1,191268,29
339,1581,3,4,3,2006,Rural,Excellent,0,966592,19
340,1012,2,2,1,1917,Urban,Fair,1,928247,108
341,3349,3,3,1,2013,Suburban,Excellent,0,679600,12
342,1059,3,1,3,2016,Downtown,Poor,0,381004,9
343,4172,5,1,2,1929,Rural,Poor,1,790537,96
344,3843,3,3,3,1925,Downtown,Excellent,0,798378,100
345,4570,3,3,2,1915,Suburban,Fair,0,279602,110
346,1970,4,3,3,1976,Urban,Fair,1,392543,49
347,1080,2,2,2,1938,Downtown,Poor,0,885227,87
348,2794,4,1,1,1932,Suburban,Fair,0,887985,93
349,3647,4,3,3,1925,Suburban,Poor,0,558928,100
350,4749,1,2,1,1947,Downtown,Fair,0,153976,78
351,2179,4,1,1,1964,Rural,Poor,1,205183,61
352,4006,5,4,3,2012,Downtown,Good,0,687854,13
353,3244,5,2,3,1937,Rural,Fair,0,307443,88
354,3856,1,1,2,1901,Urban,Fair,0,694256,124
355,4545,2,2,2,2012,Rural,Fair,0,111600,13
356,1743,2,1,1,1905,Urban,Excellent,0,624310,120
357,3618,4,1,2,1945,Downtown,Fair,0,708559,80
358,2641,4,4,2,1949,Urban,Excellent,0,887329,76
359,3559,4,2,3,1937,Suburban,Excellent,0,874470,88
360,3459,2,3,2,2005,Urban,Poor,1,173323,20
361,2765,3,4,1,1987,Rural,Excellent,1,236110,38
362,2979,5,4,2,1917,Rural,Excellent,1,694566,108
363,2135,3,1,1,1926,Rural,Good,1,947486,99
364,2257,3,3,3,1940,Urban,Fair,0,320041,85
365,4952,2,2,1,1971,Rural,Excellent,0,638829,54
366,2570,3,3,2,1991,Rural,Fair,1,156968,34
367,3349,1,3,3,1973,Suburban,Excellent,1,589180,52
368,3751,4,3,2,1916,Urban,Poor,1,975775,109
369,4230,1,3,3,2018,Suburban,Good,0,74815,7
370,2989,5,3,3,1961,Rural,Excellent,0,882044,64
371,2131,4,1,2,1928,Rural,Fair,1,476573,97
372,3316,3,1,2,1957,Rural,Poor,1,518304,68
373,1515,5,4,3,1969,Urban,Fair,1,852699,56
374,1848,4,1,3,1977,Downtown,Poor,1,854700,48
375,3587,3,4,2,1921,Rural,Good,1,688751,104
376,3339,1,4,1,2017,Rural,Poor,0,981767,8
377,835,4,2,2,1905,Rural,Fair,1,514151,120
378,1395,3,3,3,1925,Rural,Fair,0,931779,100
379,4046,1,1,2,1938,Urban,Excellent,1,240732,87
380,1351,5,2,1,1911,Downtown,Poor,1,246599,114
381,2187,5,1,2,1998,Downtown,Fair,0,244451,27
382,2431,5,4,3,1913,Downtown,Excellent,1,406686,112
383,4246,5,1,2,1921,Rural,Good,0,746631,104
384,2927,2,3,3,1950,Rural,Fair,0,378756,75
385,2068,4,4,3,1922,Downtown,Excellent,1,188307,103
386,4500,4,4,2,1947,Downtown,Fair,1,138757,78
387,3238,2,2,3,1970,Rural,Poor,0,459633,55
388,3998,3,3,3,2003,Rural,Excellent,0,934507,22
389,4413,3,4,1,1949,Suburban,Poor,1,346753,76
390,1566,5,3,1,1988,Suburban,Good,0,939217,37
391,4880,1,1,1,1912,Suburban,Poor,1,304200,113
392,2944,3,3,1,1984,Downtown,Excellent,0,597933,41
393,4607,1,4,3,2004,Urban,Fair,1,506089,21
394,3873,4,2,2,1909,Rural,Excellent,0,769918,116
395,4469,1,4,3,2016,Suburban,Poor,0,374377,9
396,3046,4,3,3,1954,Urban,Poor,1,423587,71
397,1253,2,3,3,2022,Rural,Fair,0,204473,3
398,2582,2,4,2,1908,Urban,Good,0,844203,117
399,3274,5,3,1,1978,Downtown,Excellent,0,517667,47
400,3396,3,1,3,1951,Downtown,Fair,0,522650,74
401,4685,5,4,3,1901,Downtown,Fair,0,510665,124
402,1275,4,2,1,1924,Suburban,Fair,0,414745,101
403,2125,5,4,3,1912,Rural,Excellent,0,535820,113
404,3569,1,1,2,1997,Downtown,Excellent,1,445158,28
405,917,4,1,3,1950,Suburban,Excellent,0,725748,75
406,614,2,1,3,1957,Suburban,Good,0,961656,68
407,1116,3,1,1,1933,Suburban,Fair,1,657539,92
408,4474,4,1,3,1934,Suburban,Poor,0,631330,91
409,3767,4,2,3,2001,Downtown,Poor,0,890172,24
410,1325,1,3,2,1902,Suburban,Fair,1,246945,123
411,2016,3,1,1,2005,Downtown,Poor,0,621312,20
412,3646,2,1,1,2019,Downtown,Good,0,728810,6
413,912,4,4,2,1958,Suburban,Good,1,631253,67
414,1228,4,2,3,1969,Downtown,Excellent,1,322201,56
415,3848,1,2,1,2018,Rural,Excellent,0,798609,7
416,3308,5,3,1,1947,Rural,Excellent,0,845415,78
417,1175,2,2,3,1963,Urban,Excellent,1,442613,62
418,3965,3,4,3,2012,Rural,Excellent,0,594283,13
419,3004,4,4,1,1918,Downtown,Poor,1,164587,107
420,3467,4,3,3,1966,Downtown,Poor,1,283076,59
421,3286,2,4,1,1981,Rural,Excellent,1,796988,44
422,1622,5,1,3,2002,Suburban,Good,0,520897,23
423,4579,4,1,3,1972,Suburban,Poor,1,88886,53
424,2071,2,4,2,2015,Downtown,Good,1,401169,10
425,2643,1,3,3,1975,Suburban,Good,1,539788,50
426,2187,5,2,2,1904,Urban,Fair,0,145149,121
427,4632,3,3,3,1966,Urban,Fair,0,668308,59
428,4351,4,2,1,1910,Rural,Excellent,0,576961,115
429,3940,2,4,1,2020,Rural,Good,1,913945,5
430,4266,1,4,3,1993,Suburban,Poor,0,73466,32
431,2826,3,1,3,1967,Downtown,Fair,0,287626,58
432,3414,2,2,1,1968,Rural,Fair,1,928977,57
433,4452,2,3,3,1900,Urban,Good,1,559966,125
434,1095,3,4,2,1990,Rural,Fair,0,624694,35
435,1228,1,3,2,1991,Rural,Fair,0,446904,34
436,1865,1,1,2,1962,Urban,Poor,1,643572,63
437,4992,5,2,2,1928,Downtown,Good,0,810006,97
438,1198,4,2,2,1981,Rural,Fair,1,951011,44
439,895,3,4,3,1911,Rural,Good,1,587953,114
440,4671,3,2,3,1976,Rural,Fair,0,594929,49
441,4860,3,4,2,1940,Suburban,Poor,0,475716,85
442,3002,1,1,3,1901,Rural,Good,0,610085,124
443,2319,4,2,3,1936,Urban,Fair,0,790126,89
444,1217,5,4,2,1944,Downtown,Poor,1,358094,81
445,3282,2,3,3,1979,Downtown,Fair,0,992550,46
446,4077,2,4,3,1947,Urban,Good,0,965986,78
447,643,3,2,3,1923,Suburban,Fair,0,676627,102
448,3640,4,1,2,1998,Urban,Good,1,687719,27
449,4991,1,2,3,1921,Downtown,Good,0,282275,104
450,3438,4,2,1,1999,Urban,Fair,0,452854,26
451,4136,4,4,1,1910,Suburban,Poor,1,857605,115
452,3722,1,3,2,2018,Downtown,Excellent,1,718582,7
453,1667,3,2,1,1957,Suburban,Poor,1,231136,68
454,3116,4,3,2,1945,Urban,Poor,1,218082,80
455,1562,2,4,1,1928,Rural,Fair,1,303301,97
456,2656,1,3,1,1934,Urban,Poor,0,592383,91
457,3482,5,4,1,2011,Suburban,Poor,1,173554,14
458,3794,3,1,2,2017,Urban,Excellent,1,444655,8
459,1656,1,3,2,1914,Rural,Poor,1,962046,111
460,1232,5,3,3,1959,Suburban,Excellent,1,809277,66
461,4830,5,1,2,1994,Urban,Fair,1,528766,31
462,1453,4,3,1,1941,Suburban,Excellent,1,972879,84
463,3039,4,1,1,2004,Suburban,Good,1,663311,21
464,3824,4,2,2,1942,Downtown,Good,1,681469,83
465,3801,1,4,2,1979,Downtown,Excellent,0,272310,46
466,2042,1,1,2,1973,Suburban,Good,0,857032,52
467,1691,3,3,3,1948,Urban,Fair,0,838898,77
468,3493,4,1,1,1963,Urban,Good,1,830637,62
469,3181,5,3,3,1931,Urban,Excellent,1,549344,94
470,1717,2,2,3,1963,Rural,Fair,1,750457,62
471,2040,3,1,1,2014,Suburban,Good,0,946366,11
